time,proto,sip,sport,dip,dport,from,to,subject
2017-11-02 03:00:00,smtp,10.1.4.17,49218,10.5.71.60,25,kaoqin@hightech.com,1013@hightech.com,早退
2017-11-02 03:00:00,smtp,10.1.4.17,49232,10.5.71.60,25,kaoqin@hightech.com,1180@hightech.com,旷工
2017-11-02 03:00:00,smtp,10.1.4.17,49222,10.5.71.60,25,kaoqin@hightech.com,1314@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49222,10.5.71.60,25,kaoqin@hightech.com,1475@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49208,10.5.71.60,25,kaoqin@hightech.com,1167@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49212,10.5.71.60,25,kaoqin@hightech.com,1238@hightech.com,旷工
2017-11-02 03:00:00,smtp,10.1.4.17,49234,10.5.71.60,25,kaoqin@hightech.com,1281@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49205,10.5.71.60,25,kaoqin@hightech.com,1301@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49220,10.5.71.60,25,kaoqin@hightech.com,1290@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49223,10.5.71.60,25,kaoqin@hightech.com,1119@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49221,10.5.71.60,25,kaoqin@hightech.com,1059@hightech.com,迟到
2017-11-02 03:00:00,smtp,10.1.4.17,49230,10.5.71.60,25,kaoqin@hightech.com,1041@hightech.com,旷工
2017-11-02 03:00:00,smtp,10.1.4.17,49216,10.5.71.60,25,kaoqin@hightech.com,1126@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49220,10.5.71.60,25,kaoqin@hightech.com,1230@hightech.com,旷工
2017-11-02 04:00:00,smtp,10.1.4.17,49185,10.5.71.60,25,kaoqin@hightech.com,1087@hightech.com,旷工
2017-11-02 04:00:00,smtp,10.1.4.17,49213,10.5.71.60,25,kaoqin@hightech.com,1007@hightech.com,旷工
2017-11-02 04:00:00,smtp,10.1.4.17,49196,10.5.71.60,25,kaoqin@hightech.com,1287@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49204,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,旷工
2017-11-02 04:00:00,smtp,10.1.4.17,49201,10.5.71.60,25,kaoqin@hightech.com,1275@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49172,10.5.71.60,25,kaoqin@hightech.com,1125@hightech.com,旷工
2017-11-02 04:00:00,smtp,10.1.4.17,49215,10.5.71.60,25,kaoqin@hightech.com,1439@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49179,10.5.71.60,25,kaoqin@hightech.com,1092@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49187,10.5.71.60,25,kaoqin@hightech.com,1151@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49232,10.5.71.60,25,kaoqin@hightech.com,1156@hightech.com,迟到
2017-11-02 04:00:00,smtp,10.1.4.17,49230,10.5.71.60,25,kaoqin@hightech.com,1068@hightech.com,迟到
2017-11-02 09:20:25,smtp,125.112.225.185,64286,10.5.71.60,25,30398f26f5274627aa0df0d1975a4b3b@qq.com,1155@hightech.com,万经俏【紅寶已派送到您的賬戶｜｜註冊即送38｜｜澳門新葡京｜｜添加釦釦：778684162領取】当年深隐
2017-11-02 09:20:41,smtp,10.64.106.29,2124,10.5.71.60,25,1433@hightech.com,2079cb6e004c8f4c86cce3954dd8d0de@foxmail.com,录用通知（接受请回复邮件确认，谢谢！）
2017-11-02 09:21:00,smtp,10.64.106.11,2164,10.5.71.60,25,1149@hightech.com,c14d41d6052270ea9178c5cc4435a1a0@qq.com,新员工必读
2017-11-02 09:22:32,smtp,10.64.105.88,1799,10.5.71.60,25,1368@hightech.com,68ab14ea32ed45c948218b8b0a2aaabc@sina.com,财务
2017-11-02 09:23:48,smtp,10.116.216.71,1561,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:406]HOST_5XXba9d95f3c0be1cb9e8c335afc3c9d623
2017-11-02 09:24:17,smtp,10.116.216.71,2192,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:287]HOST_5XXcb38023254230e4b4f619ae8f76c282f
2017-11-02 09:24:20,smtp,10.116.216.71,1944,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:141]HOST_5XX735d2cfd7e47b36a237fe89c3f99e19e
2017-11-02 09:25:33,smtp,10.116.216.71,2023,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:964]HOST_5XX2aef3c61d62874a3be3398ff30832a80
2017-11-02 09:25:44,smtp,10.116.216.71,2403,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:53]HOST_5XX7cd1ed559d03585fec5560aa8504dc8d
2017-11-02 09:25:57,smtp,10.116.216.71,1574,10.5.71.60,25,work@hightech.com,1087@hightech.com,[ALARM:104]HOST_5XX96aaeeb7d85b6c5f91dd01233c5ea43f
2017-11-02 09:26:37,smtp,10.64.106.32,2045,10.5.71.60,25,1371@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1249@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
2017-11-02 09:26:42,smtp,10.116.216.73,1867,10.5.71.60,25,smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,安全邮件崩溃
2017-11-02 09:27:05,smtp,10.64.105.81,2653,10.5.71.60,25,1327@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,资金
2017-11-02 09:27:15,smtp,10.64.105.22,2600,10.5.71.60,25,1439@hightech.com,1149@hightech.com,财务报账
2017-11-02 09:28:41,smtp,222.185.184.72,54839,10.5.71.60,25,05c790ff319d8c10f9da7d8674e6a1e3@qq.com,1101@hightech.com,生殖力[新葡京--38元紅苞已經為您添加--紅包大師釦釦：778684162六盒49備≯-成為會員領工資]一致性
2017-11-02 09:29:10,smtp,10.116.216.71,2181,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:912]HOST_5XXf271accfe4e45e1adc98c2c0e70470be
2017-11-02 09:29:25,smtp,10.116.216.71,1781,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1373]HOST_5XX3b0c30dd362124306880e10e4d6757ea
2017-11-02 09:30:00,smtp,10.1.4.17,49163,10.5.71.60,25,hr@hightech.com,allstaff@hightech.com,打球啦，欢迎大家参加
2017-11-02 09:30:09,smtp,10.64.106.16,2146,10.5.71.60,25,1347@hightech.com,1041@hightech.com;1368@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
2017-11-02 09:30:12,smtp,10.64.106.15,2177,10.5.71.60,25,1249@hightech.com,0d6117fe6cbddf3fc67a1a926c7a5bd9@foxmail.com,新员工必读
2017-11-02 09:30:48,smtp,10.116.216.71,2298,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:754]HOST_5XXaf8abda9c4690a5e19019814e5ebbade
2017-11-02 09:31:42,smtp,219.142.78.230,2042,10.5.71.60,25,6dc64c0d23aae924fe370f6e515c66c2@sina.com,1165@hightech.com,照片、表格等资料
2017-11-02 09:31:57,smtp,219.142.78.230,2163,10.5.71.60,25,73f255c17953933aa4adf5aab4fece8a@sina.com,1473@hightech.com,照片、表格等资料
2017-11-02 09:32:44,smtp,10.116.216.72,2428,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-02 09:33:27,smtp,10.116.216.71,1736,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:1281]HOST_5XXc3ed4ff2d6ab611fec2db3fe4177f41b
2017-11-02 09:34:05,smtp,118.192.64.177,33249,10.5.71.60,25,f7275d996b1365e245e782acafbaf5af@info.szwgroup.com,1119@hightech.com,2018中国智慧物流与供应链国际峰会参会嘉宾名单ParticipantsListofISLC2018
2017-11-02 09:34:50,smtp,10.116.216.72,2672,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
2017-11-02 09:35:44,smtp,10.116.216.71,1935,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:1304]HOST_5XX9e366f07f4e7b650a625d3dc158016f0
2017-11-02 09:35:57,smtp,10.116.216.71,1785,10.5.71.60,25,work@hightech.com,1087@hightech.com,[RECOVER:291]HOST_5XX04bfd2225ba2db1979adfcad36df3882
2017-11-02 09:36:07,smtp,222.185.184.72,56681,10.5.71.60,25,3f6a96870f37d3cb74b058368cccc700@qq.com,1155@hightech.com,鲁齐〈38元紅苞已經為您添加ˉ紅包大師釦釦：778684162群號：512137592ˉ期待您的加入ˉ澳門新葡京〉不知今夜几人愁
2017-11-02 09:38:06,smtp,10.116.216.71,2163,10.5.71.60,25,work@hightech.com,1092@hightech.com,[RECOVER:394]HOST_5XXddb7d27f120f553d116d138e74a2d2ae
2017-11-02 09:38:09,smtp,10.116.216.71,2027,10.5.71.60,25,work@hightech.com,1092@hightech.com,[ALARM:773]HOST_5XXc630c06a3364a4917f98540b6d3bea63
2017-11-02 09:38:13,smtp,10.64.106.30,2604,10.5.71.60,25,1137@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,会计核算
2017-11-02 09:38:43,smtp,10.64.105.231,1578,10.5.71.60,25,1213@hightech.com,1041@hightech.com,工作汇报
2017-11-02 09:38:52,smtp,10.64.106.43,2269,10.5.71.60,25,1363@hightech.com,72c14c1d5b144f136fcdc5f201749804@sohu.com,复试通知
